"imie_nazwisko","pseudonim","data_urodzenia","miejsce_urodzenia","pod_wplywem","plec","miejsce_smierci"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Arthur Balfour","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","William Butler Yeats","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","William Blake","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Herbert George Wells","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","John Milton","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","William Morris","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Gilbert Keith Chesterton","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Beatrix Potter","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Joseph Butler","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Edith Nesbit","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Henry Rider Haggard","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","George MacDonald","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Evelyn Underhill","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Lord Dunsany","mężczyzna","Oksford"
"Clive Staples Lewis","","1898-11-29T00:00:00Z","Belfast","Thomas Traherne","mężczyzna","Oksford"
"Immanuel Kant","","1724-04-22T00:00:00Z","Królewiec","Isaac Newton","mężczyzna","Królewiec"
"Immanuel Kant","","1724-04-22T00:00:00Z","Królewiec","Jean-Jacques Rousseau","mężczyzna","Królewiec"
"Immanuel Kant","","1724-04-22T00:00:00Z","Królewiec","David Hume","mężczyzna","Królewiec"
"Immanuel Kant","","1724-04-22T00:00:00Z","Królewiec","Christian Wolff","mężczyzna","Królewiec"
"Immanuel Kant","","1724-04-22T00:00:00Z","Królewiec","George Berkeley","mężczyzna","Królewiec"
"Immanuel Kant","","1724-04-22T00:00:00Z","Królewiec","Francis Hutcheson","mężczyzna","Królewiec"
"Guy de Maupassant","","1850-08-05T00:00:00Z","Dieppe","Émile Zola","mężczyzna","Passy"
"Guy de Maupassant","","1850-08-05T00:00:00Z","Tourville-sur-Arques","Émile Zola","mężczyzna","Passy"
"Guy de Maupassant","","1850-08-05T00:00:00Z","Dieppe","Honoré de Balzac","mężczyzna","Passy"
"Guy de Maupassant","","1850-08-05T00:00:00Z","Tourville-sur-Arques","Honoré de Balzac","mężczyzna","Passy"
"Laozi","","-579-01-01T00:00:00Z","Chiny","","mężczyzna",""
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Stendhal","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","William Szekspir","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Platon","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Arystoteles","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Sokrates","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Fiodor Dostojewski","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Karol Darwin","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Blaise Pascal","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Niccolò Machiavelli","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Richard Wagner","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Johann Wolfgang von Goethe","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Jean-Jacques Rousseau","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Gottfried Wilhelm Leibniz","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Voltaire","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Georg Wilhelm Friedrich Hegel","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Immanuel Kant","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Auguste Comte","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Richard Strauss","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Edgar Allan Poe","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Baruch Spinoza","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Zaratusztra","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Arthur Schopenhauer","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","William Butler Yeats","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Heraklit","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Michel de Montaigne","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Demokryt","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Epikur","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Heinrich Heine","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Ralph Waldo Emerson","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Oswald Spengler","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Stefan George","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Johann Joachim Winckelmann","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Georg Christoph Lichtenberg","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Paul Tillich","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Friedrich Albert Lange","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Paul Rée","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Friedrich Hölderlin","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Max Scheler","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Max Stirner","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Mary Wigman","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Stefan Zweig","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Adam Mickiewicz","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Empedokles","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Parmenides","mężczyzna","Weimar"
"Friedrich Nietzsche","","1844-10-15T00:00:00Z","Röcken","Adalbert Stifter","mężczyzna","Weimar"
