"numer_adres";"stan_zdrowia";"y_wgs84";"dzielnica";"adres";"lokalizacja";"wiek_w_dni";"srednica_k";"pnie_obwod";"miasto";"jednostka";"x_pl2000";"wysokosc";"y_pl2000";"numer_inw";"﻿x_wgs84";"_id";"gatunek_1";"gatunek";"data_wyk_pom"
"";"średni";"52.261669";"Praga Północ";"ul. ŁOMŻYŃSKA";"Ulica ŁOMŻYŃSKA";"50";"10";"276";"Warszawa";"Dzielnica Praga Północ";"7503960";"19";"5792015.00181818";"D209675";"21.058004";5402;"Populus simonii";"topola Simona";"20110801"
"";"dobry";"52.261624";"Praga Północ";"ul. ŁOMŻYŃSKA";"Ulica ŁOMŻYŃSKA";"35";"2,5";"284";"Warszawa";"Dzielnica Praga Północ";"7503953";"18";"5792010.00181818";"D209676";"21.057901";5403;"Populus nigra 'Italica'";"topola czarna ""Italica""";"20110801"
"";"średni";"52.261579";"Praga Północ";"ul. ŁOMŻYŃSKA";"Ulica ŁOMŻYŃSKA";"40";"7";"246";"Warszawa";"Dzielnica Praga Północ";"7503947";"16";"5792005.00181818";"D209677";"21.057813";5404;"Populus simonii";"topola Simona";"20110801"
"";"średni";"52.261355";"Praga Północ";"ul. ŁOMŻYŃSKA";"Ulica ŁOMŻYŃSKA";"40";"7";"233";"Warszawa";"Dzielnica Praga Północ";"7503914";"17";"5791980.00181818";"D209678";"21.057329";5405;"Populus simonii";"topola Simona";"20110801"
"";"średni";"52.261292";"Praga Północ";"ul. ŁOMŻYŃSKA";"Ulica ŁOMŻYŃSKA";"40";"6";"207";"Warszawa";"Dzielnica Praga Północ";"7503904";"17";"5791973.00181818";"D209679";"21.057183";5406;"Populus simonii";"topola Simona";"20110801"
"";"średni";"52.261256";"Praga Północ";"ul. ŁOMŻYŃSKA";"Ulica ŁOMŻYŃSKA";"40";"6";"205";"Warszawa";"Dzielnica Praga Północ";"7503899";"15";"5791969.00181818";"D209680";"21.05711";5407;"Populus simonii";"topola Simona";"20110801"
"";"średni";"52.262092";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"15";"3,5";"31";"Warszawa";"Dzielnica Praga Północ";"7503835";"4";"5792062.00181818";"D209681";"21.056173";5408;"Acer platanoides 'Globosum'";"klon pospolity ""Globosum""";"20110801"
"";"średni";"52.262048";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"15";"3,5";"50";"Warszawa";"Dzielnica Praga Północ";"7503831";"4";"5792057.00181818";"D209682";"21.056115";5409;"Acer platanoides 'Globosum'";"klon pospolity ""Globosum""";"20110801"
"";"średni";"52.261994";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"15";"3,5";"43";"Warszawa";"Dzielnica Praga Północ";"7503828";"4";"5792051.00181818";"D209683";"21.056071";5410;"Acer platanoides 'Globosum'";"klon pospolity ""Globosum""";"20110801"
"";"średni";"52.261634";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"30";"10";"159";"Warszawa";"Dzielnica Praga Północ";"7503808";"10";"5792011.00181818";"D209684";"21.055777";5411;"Aesculus hippocastanum";"kasztanowiec pospolity";"20110801"
"";"średni";"52.261553";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"30";"10";"115, 138";"Warszawa";"Dzielnica Praga Północ";"7503803";"10";"5792002.00181818";"D209685";"21.055704";5412;"Aesculus hippocastanum";"kasztanowiec pospolity";"20110801"
"";"dobry";"52.261612";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"30";"7";"114";"Warszawa";"Dzielnica Praga Północ";"7503778.60027972";"8";"5792008.45230769";"D209686";"21.055347";5413;"Fraxinus excelsior";"jesion wyniosły";"20110801"
"";"dobry";"52.261626";"Praga Północ";"ul. WOŁOMIŃSKA";"Ulica WOŁOMIŃSKA";"50";"9";"211";"Warszawa";"Dzielnica Praga Północ";"7503775";"6";"5792010.00181818";"D209687";"21.055294";5414;"Prunus avium";"czereśnia ptasia";"20110801"
"";"dobry";"52.259486";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"60";"11";"276";"Warszawa";"Dzielnica Praga Północ";"7503783";"10";"5791772.00181818";"D209688";"21.055408";5415;"Acer negundo";"klon jesionolistny";"20110801"
"";"dobry";"52.259774";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"50";"10";"161";"Warszawa";"Dzielnica Praga Północ";"7503854";"15";"5791804.00181818";"D209689";"21.056449";5416;"Acer negundo";"klon jesionolistny";"20110801"
"";"średni";"52.259872";"Praga Północ";"ul. ŁOCHOWSKA";"Ulica ŁOCHOWSKA";"35";"8";"105";"Warszawa";"Dzielnica Praga Północ";"7503877";"13";"5791815.00181818";"D209690";"21.056786";5417;"Acer negundo";"klon jesionolistny";"20110801"
