"u_nazwa","u_stocznia","u_wrak","u_typ"
"U-49","Friedrich Krupp Germaniawerft","Point(-11.6 46.85)","German Type VIIB submarine"
"U-172","AG Weser","Point(-29.967 26.483)",
"U-47","Friedrich Krupp Germaniawerft",,"German Type VIIB submarine"
"SM U-1","Friedrich Krupp Germaniawerft","Point(11.5833 48.1167)",
"German submarine U-449","Schichau-Werke","Point(-11.98333333 45.0)","Okręty podwodne typu VIIC"
"U-57","Deutsche Werke",,
"U-995",,"Point(10.2289 54.4125)","German Type VIIC/41 submarine"
"U-72","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu VIIC"
"U-552","Blohm + Voss",,"Okręty podwodne typu VIIC"
"Deutschland","Flensburger Schiffbau-Gesellschaft",,"okręty podwodne typu U 151"
"Deutschland","Friedrich Krupp Germaniawerft",,"okręty podwodne typu U 151"
"U-46","Friedrich Krupp Germaniawerft","Point(9.48333333 54.83333333)","German Type VIIB submarine"
"U-50","Friedrich Krupp Germaniawerft",,"German Type VIIB submarine"
"U-38","AG Weser","Point(8.53333333 53.56666667)","Okręty podwodne typu IXA"
"U-37","AG Weser","Point(9.78333333 54.91666667)","Okręty podwodne typu IXA"
"U-95","Friedrich Krupp Germaniawerft","Point(-3.33333333 36.4)","Okręty podwodne typu VIIC"
"U-48","Friedrich Krupp Germaniawerft","Point(10.833333333 54.116666666)","German Type VIIB submarine"
"U-110 (1940)","AG Weser","Point(-33.2 60.366666666)","Okręty podwodne typu IXB"
"U-869","AG Weser","Point(-73.2 39.33)",
"Wilhelm Bauer","Blohm + Voss","Point(8.577777777 53.541388888)",
"U-160","AG Weser",,
"German submarine U-667","Deutsche Werft","Point(-1.5 46.0)","Okręty podwodne typu VIIC"
"U-34","Friedrich Krupp Germaniawerft","Point(-8.34 48.49)","typu VIIA"
"U-534","Deutsche Werft","Point(-3.00933 53.3951)",
"U-35","Friedrich Krupp Germaniawerft","Point(2.78333333 60.88333333)","typu VIIA"
"U-36","Friedrich Krupp Germaniawerft","Point(5.03333333 57.0)","typu VIIA"
"U-20","Friedrich Krupp Germaniawerft","Point(30.783333333 41.166666666)","Klasse IIB"
"U-69","Friedrich Krupp Germaniawerft","Point(-41.11666667 50.6)","Okręty podwodne typu VIIC"
"U-23",,"Point(30.0 41.18333333)",
"U-331","Nordseewerke","Point(2.45 37.08333333)","Okręty podwodne typu VIIC"
"U-505","Deutsche Werft","Point(-87.58139 41.791787)","Okręty podwodne typu IXC"
"U-234",,,
"U-864","AG Weser","Point(4.62083333 60.76944444)","Okręty podwodne typu IXD-1"
"U-18",,"Point(28.68333333 44.2)",
"U-81","Bremer Vulkan","Point(13.85 44.86666667)","typu VII"
"U-81","Bremer Vulkan","Point(13.85 44.86666667)","Okręty podwodne typu VIIC"
"U-30","AG Weser",,"typu VIIA"
"U-100","Friedrich Krupp Germaniawerft","Point(-11.5 61.06666667)","German Type VIIB submarine"
"U-99","Friedrich Krupp Germaniawerft","Point(-12.0 61.0)","German Type VIIB submarine"
"SM UC-21","Blohm + Voss",,"okręty podwodne typu UC II"
"SM U-61","AG Weser",,
"Niemiecki okręt podwodny SM U-46",,,
"Niemiecki okręt podwodny SM U-86","Friedrich Krupp Germaniawerft",,
"SM U-39","Friedrich Krupp Germaniawerft","Point(-0.03333333 36.6)","Okręty podwodne typu U-31"
"SM U-47","Kaiserliche Werft Gdańsk",,
"SM UC-57","Kaiserliche Werft Gdańsk","Point(23.0 59.0)","okręty podwodne typu UC II"
"U-19",,"Point(31.83333333 41.56666667)",
"German submarine U-653","Howaldtswerke-Deutsche Werft","Point(-24.5833 53.7667)","Okręty podwodne typu VIIC"
"U-3501",,,
"German submarine U-801","Deutsche Schiff- und Maschinenbau","Point(-30.4667 16.7)",
"German submarine U-435","Schichau-Werke","Point(-14.36666667 39.8)","Okręty podwodne typu VIIC"
"U-2336",,,
"German submarine U-232","Friedrich Krupp Germaniawerft","Point(-13.68333333 40.61666667)","Okręty podwodne typu VIIC"
"Niemiecki okręt podwodny SM U-2","Kaiserliche Werft Gdańsk",,
"German submarine U-669","Howaldtswerke-Deutsche Werft",,
"UB-4","Friedrich Krupp Germaniawerft","Point(2.3 52.716666666)","Okręty podwodne typu UBI"
"German submarine U-541",,"Point(-7.58333333 55.63333333)",
"German submarine U-194","AG Weser","Point(-26.3 59.0)",
"German submarine U-1224",,"Point(-33.21638889 18.13305556)",
"German submarine U-547",,,
"German submarine U-546",,"Point(-40.11666667 43.88333333)",
"German submarine U-189","AG Weser",,
"German submarine U-186","Deutsche Schiff- und Maschinenbau","Point(-31.81666667 41.9)",
"U-183","AG Weser","Point(112.867 -4.833)",
"German submarine U-889","AG Weser",,
"German submarine U-539","Deutsche Werft","Point(-7.95 55.63333333)",
"German submarine U-540",,"Point(-31.93333333 58.63333333)",
"German submarine U-545",,,
"German submarine U-187","AG Weser","Point(-36.58333333 50.2)",
"German submarine U-184","AG Weser","Point(-45.0 49.0)",
"German submarine U-535","Deutsche Werft","Point(-9.21666667 43.63333333)",
"German submarine U-536",,"Point(-19.65 43.83333333)",
"German submarine U-843","AG Weser","Point(11.38333333 57.53333333)",
"German submarine U-198","Deutsche Schiff- und Maschinenbau","Point(52.81666667 -3.58333333)","Okręty podwodne typu IXD-2"
"German submarine U-197","AG Weser","Point(42.6 -28.66666667)","Okręty podwodne typu IXD-2"
"German submarine U-193","AG Weser","Point(-9.71666667 45.63333333)",
"German submarine U-1225",,"Point(-0.83333333 63.0)",
"German submarine U-803",,"Point(14.28333333 53.91666667)",
"German submarine U-1227",,,
"German submarine U-1226",,"Point(-20.0 56.0)",
"German submarine U-548",,,
"German submarine U-528","Deutsche Werft","Point(-14.73333333 46.91666667)",
"German submarine U-178","Deutsche Schiff- und Maschinenbau",,
"German submarine U-538",,"Point(-19.58333333 45.66666667)",
"U-537","Deutsche Werft","Point(115.28333333 -7.21666667)",
"German submarine U-221","Friedrich Krupp Germaniawerft","Point(18.0 47.0)","Okręty podwodne typu VIIC"
"U-249",,,"Okręty podwodne typu VIIC"
"U-486",,"Point(4.65 60.73333333)","Okręty podwodne typu VIIC"
"U-954","Blohm + Voss","Point(-34.31666667 54.9)","Okręty podwodne typu VIIC"
"German submarine U-340","Nordseewerke","Point(-6.61666667 35.55)","Okręty podwodne typu VIIC"
"U-291",,"Point(-9.13333333 55.83333333)","Okręty podwodne typu VIIC"
"U-313",,"Point(-8.4 55.66666667)","Okręty podwodne typu VIIC"
"U-312",,"Point(-7.9 55.58333333)","Okręty podwodne typu VIIC"
"German submarine U-260","Bremer Vulkan","Point(-9.08333333 51.25)","Okręty podwodne typu VIIC"
"German submarine U-280",,"Point(-27.53333333 49.18333333)","Okręty podwodne typu VIIC"
"German submarine U-454","Deutsche Werke",,"Okręty podwodne typu VIIC"
"SM U-26",,"Point(25.83333333 59.66666667)",
"German submarine U-521","Deutsche Werft","Point(-73.26666667 37.71666667)",
"German submarine U-460","Deutsche Werke","Point(-28.966666666 43.3)","Okręty podwodne typu XIV"
"German submarine U-660","Howaldtswerke-Deutsche Werft","Point(-1.0 36.1167)","Okręty podwodne typu VIIC"
"SM UB-18","Blohm + Voss","Point(5.78333333 49.28333333)","Okręty podwodne typu UBII"
"SM UB-45","AG Weser","Point(28.15 43.2)","Okręty podwodne typu UBII"
"SM UB-5","Friedrich Krupp Germaniawerft",,"Okręty podwodne typu UBI"
"SM UB-40","Blohm + Voss","Point(2.93333333 51.51666667)","Okręty podwodne typu UBII"
